time_s,x_m,y_m,z_m,dist_m
0.000,-0.019766,0.571042,3.529275,0.000000
0.033,-0.045623,-0.649601,3.498161,1.221314
0.067,-0.045512,-0.649572,3.498121,1.221435
0.100,-0.045674,-0.649301,3.498625,1.222030
0.133,-0.046082,-0.648651,3.498600,1.222797
0.167,-0.046282,-0.648830,3.498576,1.223067
0.200,-0.045856,-0.648443,3.499028,1.223799
0.233,-0.045715,-0.648492,3.500040,1.224822
0.267,-0.045125,-0.647833,3.500478,1.225810
0.300,-0.044713,-0.647263,3.501242,1.226847
0.333,-0.045781,-0.646901,3.501721,1.228073
0.367,-0.045246,-0.645355,3.502276,1.229801
0.400,-0.044404,-0.646439,3.502761,1.231257
0.433,-0.044396,-0.646779,3.503129,1.231758
0.467,-0.044419,-0.646596,3.502960,1.232008
0.500,-0.044339,-0.646853,3.502824,1.232310
0.533,-0.044342,-0.647045,3.502751,1.232515
0.567,-0.044282,-0.647636,3.502935,1.233137
0.600,-0.044657,-0.647575,3.502813,1.233536
0.633,-0.043839,-0.648401,3.503272,1.234786
0.667,-0.044489,-0.648096,3.502777,1.235658
0.700,-0.044418,-0.648354,3.502646,1.235956
0.733,-0.042982,-0.648814,3.502736,1.237467
0.767,-0.044401,-0.648704,3.502735,1.238890
0.800,-0.044632,-0.649090,3.502610,1.239357
0.833,-0.044245,-0.649137,3.502370,1.239815
0.867,-0.044130,-0.648898,3.502211,1.240124
0.900,-0.044470,-0.648781,3.501908,1.240594
0.933,-0.044928,-0.647916,3.500697,1.242151
0.967,-0.044941,-0.647744,3.499983,1.242885
1.000,-0.045656,-0.646780,3.499004,1.244434
1.033,-0.046311,-0.645991,3.497923,1.245925
1.067,-0.046629,-0.645753,3.497326,1.246642
1.100,-0.046846,-0.645664,3.496383,1.247613
1.133,-0.047726,-0.645193,3.495317,1.249073
1.167,-0.048736,-0.644341,3.493875,1.251029
1.200,-0.048965,-0.643742,3.493002,1.252112
1.233,-0.049748,-0.642661,3.491748,1.253944
1.267,-0.050458,-0.642185,3.490774,1.255240
1.300,-0.051914,-0.640043,3.489775,1.258015
1.333,-0.051070,-0.641030,3.489374,1.259375
1.367,-0.051543,-0.639896,3.488835,1.260716
1.400,-0.051647,-0.638871,3.487365,1.262511
1.433,-0.052037,-0.637096,3.486977,1.264369
1.467,-0.052657,-0.635429,3.485359,1.266774
1.500,-0.052710,-0.634237,3.484599,1.268189
1.533,-0.052856,-0.633386,3.483439,1.269635
1.567,-0.054057,-0.631285,3.481527,1.272720
1.600,-0.054512,-0.628732,3.479420,1.276060
1.633,-0.054859,-0.628335,3.477967,1.277606
1.667,-0.055674,-0.626338,3.475524,1.280865
1.700,-0.056203,-0.625400,3.473739,1.282950
1.733,-0.057504,-0.623649,3.471329,1.286201
1.767,-0.058452,-0.621847,3.469760,1.288771
1.800,-0.058802,-0.619951,3.467912,1.291442
1.833,-0.060151,-0.617770,3.465712,1.294821
1.867,-0.060164,-0.615645,3.464264,1.297392
1.900,-0.060992,-0.613649,3.463154,1.299821
1.933,-0.060960,-0.612140,3.462301,1.301555
1.967,-0.061464,-0.610069,3.461091,1.304006
2.000,-0.061204,-0.608890,3.460499,1.305351
2.033,-0.061292,-0.607416,3.459095,1.307389
2.067,-0.061589,-0.606167,3.457432,1.309490
2.100,-0.061797,-0.605221,3.456457,1.310864
2.133,-0.061885,-0.604120,3.454791,1.312863
2.167,-0.063545,-0.602897,3.452629,1.315850
2.200,-0.063017,-0.602817,3.452411,1.316427
2.233,-0.064264,-0.601102,3.450516,1.319270
2.267,-0.059766,-0.605650,3.450762,1.325671
2.300,-0.065982,-0.597999,3.447389,1.336090
2.333,-0.066296,-0.595863,3.445886,1.338721
2.367,-0.060914,-0.603233,3.446941,1.347908
2.400,-0.069228,-0.593094,3.443440,1.361479
2.433,-0.070180,-0.591627,3.440895,1.364567
2.467,-0.071531,-0.588799,3.437685,1.369053
2.500,-0.068998,-0.588385,3.437860,1.371626
2.533,-0.025730,-0.636826,3.405363,1.444252
2.567,-0.071923,-0.585612,3.432289,1.518290
2.600,-0.070574,-0.582848,3.428274,1.523348
2.633,-0.073655,-0.582797,3.425133,1.527747
2.667,-0.019452,-0.639869,3.387114,1.615157
2.700,-0.076856,-0.581874,3.416885,1.702020
2.733,-0.090068,-0.566406,3.397963,1.729801
2.767,-0.092622,-0.568229,3.394520,1.734459
2.800,-0.100418,-0.588844,3.386808,1.757810
2.833,-0.101551,-0.587385,3.380715,1.764177
2.867,-0.104028,-0.569445,3.376765,1.782713
2.900,-0.105742,-0.569051,3.370558,1.789165
2.933,-0.108677,-0.588042,3.359587,1.811293
2.967,-0.110640,-0.587973,3.352976,1.818189
3.000,-0.112806,-0.569536,3.349960,1.836997
3.033,-0.114879,-0.589943,3.335655,1.862003
3.067,-0.083458,-0.567758,3.347891,1.902367
3.100,-0.072932,-0.585443,3.330070,1.929591
3.133,-0.121018,-0.594126,3.305674,1.984207
3.167,-0.123305,-0.596082,3.296123,1.994220
3.200,-0.125738,-0.598059,3.284925,2.005849
3.233,-0.127401,-0.599503,3.275114,2.015904
3.267,-0.128993,-0.601749,3.264023,2.027331
3.300,-0.129356,-0.603727,3.254524,2.037041
3.333,-0.130247,-0.605836,3.244673,2.047154
3.367,-0.130213,-0.606695,3.237697,2.054183
3.400,-0.129590,-0.607849,3.229367,2.062616
3.433,-0.101483,-0.585739,3.242265,2.100631
3.467,-0.101280,-0.588060,3.234594,2.108648
3.500,-0.129537,-0.613327,3.205063,2.156700
3.533,-0.129236,-0.614923,3.197249,2.164681
3.567,-0.129024,-0.617252,3.186968,2.175224
3.600,-0.128868,-0.619428,3.179414,2.183087
3.633,-0.126307,-0.608181,3.138682,2.225421
3.667,-0.131140,-0.623213,3.163324,2.254688
3.700,-0.129256,-0.613897,3.124705,2.294459
3.733,-0.129772,-0.616863,3.118112,2.301708
3.767,-0.134209,-0.630905,3.142254,2.329987
3.800,-0.135710,-0.633206,3.136022,2.336797
3.833,-0.135906,-0.634815,3.130131,2.342907
3.867,-0.134268,-0.628482,3.094846,2.378793
3.900,-0.137876,-0.639056,3.118351,2.404819
3.933,-0.137535,-0.639542,3.114360,2.408855
3.967,-0.120174,-0.698223,3.066643,2.486455
4.000,-0.137353,-0.639064,3.107066,2.560137
4.033,-0.137246,-0.638680,3.102208,2.565011
4.067,-0.138727,-0.638127,3.098928,2.568652
4.100,-0.139323,-0.636404,3.096536,2.571659
4.133,-0.129827,-0.693311,3.051117,2.645085
4.167,-0.136990,-0.627396,3.059498,2.711916
4.200,-0.141111,-0.632351,3.085535,2.738739
4.233,-0.137688,-0.624063,3.048150,2.777185
4.267,-0.137564,-0.622773,3.045174,2.780430
4.300,-0.142580,-0.629030,3.072129,2.808552
4.333,-0.142961,-0.627632,3.068193,2.812746
4.367,-0.139773,-0.618640,3.030382,2.851741
4.400,-0.141098,-0.617103,3.024105,2.858338
4.433,-0.139623,-0.685872,3.002709,2.930373
4.467,-0.149415,-0.620073,3.044839,3.009115
4.500,-0.151637,-0.617475,3.038021,3.016741
4.533,-0.149958,-0.668653,2.993091,3.084865
4.567,-0.155253,-0.611510,3.024805,3.150433
4.600,-0.157227,-0.607889,3.015922,3.160227
4.633,-0.159380,-0.603817,3.006729,3.170510
4.667,-0.156481,-0.589804,2.957655,3.221627
4.700,-0.165390,-0.595785,2.987200,3.253061
4.733,-0.168767,-0.592147,2.975674,3.265611
4.767,-0.172956,-0.589091,2.963582,3.278768
4.800,-0.176409,-0.585068,2.951551,3.291915
4.833,-0.181209,-0.582355,2.938171,3.306387
4.867,-0.185403,-0.579467,2.924889,3.320611
4.900,-0.190156,-0.576354,2.911132,3.335495
4.933,-0.195509,-0.573280,2.898172,3.349850
4.967,-0.201109,-0.570711,2.884810,3.364564
5.000,-0.183234,-0.580932,2.869489,3.390230
5.033,-0.211770,-0.564550,2.861707,3.424042
5.067,-0.216536,-0.562024,2.848826,3.438007
5.100,-0.220017,-0.557599,2.839366,3.449015
5.133,-0.224326,-0.554676,2.827690,3.461800
5.167,-0.227058,-0.550499,2.819162,3.471681
5.200,-0.177285,-0.552729,2.817032,3.521550
5.233,-0.234938,-0.543271,2.800571,3.582248
5.267,-0.238648,-0.540279,2.791655,3.592358
5.300,-0.241109,-0.536942,2.783323,3.601664
5.333,-0.244546,-0.535918,2.775955,3.609859
5.367,-0.245603,-0.534358,2.768211,3.617828
5.400,-0.245397,-0.530537,2.757361,3.629334
5.433,-0.247732,-0.530827,2.752380,3.634843
5.467,-0.249720,-0.528824,2.744810,3.642922
5.500,-0.250581,-0.525753,2.736616,3.651715
5.533,-0.193278,-0.518076,2.743122,3.709895
5.567,-0.202942,-0.520504,2.733102,3.724027
5.600,-0.259234,-0.523530,2.712911,3.783907
5.633,-0.259844,-0.523101,2.704666,3.792185
5.667,-0.245360,-0.480727,2.614909,3.892494
5.700,-0.243856,-0.479507,2.607229,3.900413
5.733,-0.243661,-0.478052,2.599441,3.908339
5.767,-0.243434,-0.478257,2.591420,3.916365
5.800,-0.244479,-0.477993,2.584813,3.923060
5.833,-0.245533,-0.477619,2.576485,3.931462
5.867,-0.247260,-0.480447,2.577620,3.934965
5.900,-0.247779,-0.481120,2.569496,3.943134
5.933,-0.246647,-0.479456,2.548732,3.963995
5.967,-0.248226,-0.482644,2.549279,3.967594
6.000,-0.247239,-0.481196,2.529989,3.986963
6.033,-0.261720,-0.522914,2.608091,4.076685
6.067,-0.246093,-0.483536,2.509403,4.184082
6.100,-0.246113,-0.486911,2.511476,4.188043
6.133,-0.257174,-0.526320,2.582747,4.270231
6.167,-0.240204,-0.489485,2.493739,4.368042
6.200,-0.250740,-0.526503,2.568156,4.451822
6.233,-0.246663,-0.525375,2.560973,4.460158
6.267,-0.230938,-0.492942,2.472323,4.555855
6.300,-0.242219,-0.527263,2.547529,4.639288
6.333,-0.240301,-0.528081,2.540829,4.646304
6.367,-0.239829,-0.528957,2.534430,4.652780
6.400,-0.240859,-0.528494,2.527575,4.659728
6.433,-0.242246,-0.529645,2.520411,4.667115
6.467,-0.244771,-0.530573,2.512395,4.675570
6.500,-0.247761,-0.531253,2.505117,4.683468
6.533,-0.250308,-0.531855,2.496773,4.692213
6.567,-0.252176,-0.531266,2.488384,4.700828
6.600,-0.253671,-0.529846,2.480199,4.709268
6.633,-0.255932,-0.528552,2.472188,4.717692
6.667,-0.258958,-0.527378,2.464528,4.726011
6.700,-0.262839,-0.525065,2.457132,4.734678
6.733,-0.246428,-0.545881,2.444491,4.764045
6.767,-0.270047,-0.519979,2.442384,4.799162
6.800,-0.273404,-0.518333,2.434374,4.808001
6.833,-0.277605,-0.514067,2.425915,4.818364
6.867,-0.280885,-0.511742,2.418139,4.827119
6.900,-0.283899,-0.507080,2.406752,4.839786
6.933,-0.288236,-0.504420,2.397124,4.850676
6.967,-0.291364,-0.499244,2.386748,4.862686
7.000,-0.279646,-0.469332,2.308240,4.947513
7.033,-0.283568,-0.464438,2.295761,4.961479
7.067,-0.286246,-0.458943,2.283242,4.975411
7.100,-0.288959,-0.453238,2.268876,4.991105
7.133,-0.291506,-0.446948,2.255228,5.006347
7.167,-0.309393,-0.399014,2.271539,5.060047
7.200,-0.309080,-0.390029,2.261089,5.073833
7.233,-0.310421,-0.384761,2.247270,5.088682
7.267,-0.313200,-0.375296,2.238686,5.101758
7.300,-0.317575,-0.379374,2.209089,5.131954
7.333,-0.534197,-0.531152,1.887917,5.548022
7.400,-2.948588,-1.071147,-5.330620,13.178759
7.567,-1.106374,1.130591,-5.545060,16.057542
7.733,-2.409537,-0.300976,-5.594498,17.994050
