time_s,x_m,y_m,z_m,dist_m
0.000,0.988225,-2.651166,8.813674,0.000000
2.700,0.678823,-0.660991,9.609989,2.165789
3.433,1.462876,-2.690265,8.223136,4.745723
3.733,1.095021,-0.899571,9.125811,6.784528
3.767,2.317367,-1.820881,8.439864,8.461867
3.900,-1.197499,2.729423,8.127955,14.220064
4.467,0.045914,1.501832,8.889143,16.125966
4.933,0.474945,1.555059,8.639067,16.625404
5.100,1.093762,-2.638072,7.753772,20.955419
5.467,1.459731,-2.851787,7.383884,21.517935
5.533,1.300409,-2.822066,7.422882,21.684632
5.700,-1.186107,2.724543,7.437693,27.763106
5.800,-0.333388,1.608523,8.236759,29.379007
5.833,1.130542,-2.866044,7.254029,34.188435
5.967,0.831184,1.307285,8.134625,38.464151
6.000,0.915850,-2.719435,7.368674,42.563947
6.033,0.873119,-3.075022,7.190021,42.964178
6.067,-0.867128,2.880396,7.264268,49.169093
6.133,-1.089405,2.765133,7.309431,49.423519
6.200,-0.954373,2.788732,7.278319,49.564084
6.233,1.382174,-2.426260,7.415125,55.280228
6.267,-0.640513,0.743266,8.377348,59.161339
6.367,-1.323454,3.027627,7.103485,61.864567
6.400,1.277393,-2.799090,7.260347,68.247328
6.567,1.307399,-2.464390,7.401271,68.611724
6.600,-0.461696,1.042563,8.215872,72.623206
6.733,-1.090405,2.291581,7.502077,74.193182
6.833,1.003115,-2.546750,7.379572,79.466442
6.933,-0.803699,2.349761,7.528392,84.687796
6.967,-0.209874,-1.358550,8.093113,88.485573
7.067,-0.645412,2.731585,7.282100,92.678022
7.233,-0.790999,2.292857,7.388110,93.152275
7.333,-0.600701,2.309365,7.397823,93.343535
7.367,0.758115,-2.293518,7.314047,98.143528
7.400,0.502881,-1.919393,7.474606,98.624042
7.500,0.505202,-1.835916,7.424607,98.721374
7.600,0.694895,-2.393259,7.129828,99.379789
7.633,0.659278,-2.307214,7.163119,99.478686
7.733,0.514409,-2.300120,7.190306,99.626254
7.800,-0.394698,0.859612,7.864098,102.982499
7.867,-0.692680,2.432941,7.072088,104.768959
7.933,0.152977,1.106964,7.713319,106.467349
7.967,-0.780129,2.223161,7.097664,108.047100
8.000,-0.731922,-1.275039,7.599685,111.581468
8.033,0.925514,-2.221137,6.974555,113.589697
